id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,f_camera,camera,memory,wifi,price,gen_ord,cores_ord,speed_ord,wifi_ord,bluetooth_bin,screen_LCD,screen_Touch,sim_Dual,sim_Single
1,1021,0.7,136,905,1988,2631,17,3,7,0.0,6.0,53759,none,885,2,2,0,0,True,0,1,1,0
3,615,0.8,131,1216,1786,2769,16,8,11,0.0,9.0,10558,none,819,1,5,2,0,True,1,0,0,1
6,1821,0.8,139,381,1018,3220,13,8,18,4.0,10.0,10738,g,1103,2,7,1,3,False,1,0,0,1
7,1954,0.8,187,512,1149,700,16,3,5,0.0,0.0,24565,g,858,1,3,0,3,False,0,1,1,0
9,509,0.1,93,1137,1224,513,19,10,12,2.0,15.0,9468,none,679,2,4,0,0,True,1,0,1,0
11,1520,0.5,177,151,1005,3826,14,9,13,5.0,18.0,33610,n,950,2,7,1,4,True,0,1,0,1
14,1866,0.7,185,356,563,373,14,9,3,13.0,17.0,52323,g,738,2,0,0,3,False,1,0,0,1
15,775,0.7,159,862,1864,568,17,15,11,3.0,16.0,46464,b,674,1,1,1,1,False,0,1,0,1
16,838,0.1,196,984,1850,3554,10,9,19,1.0,4.0,13479,n,915,2,7,0,4,False,1,0,0,1
18,1131,0.6,101,658,878,1835,19,13,16,11.0,18.0,49432,none,729,1,4,0,0,True,0,1,1,0
20,772,0.8,81,1314,1854,2819,17,15,3,12.0,14.0,39936,none,758,1,6,1,0,False,0,1,1,0
22,1949,0.3,199,407,822,1433,11,5,20,4.0,7.0,47297,b,688,0,3,2,1,False,1,0,1,0
23,1602,0.7,114,466,788,1037,8,7,20,4.0,20.0,38437,none,750,2,2,2,0,True,1,0,1,0
25,961,0.6,114,291,1434,2782,18,9,7,0.0,3.0,57402,a,817,2,7,1,2,True,0,1,1,0
27,956,1.0,143,511,1075,3286,17,8,12,1.0,6.0,41686,none,992,2,6,0,0,False,0,1,0,1
29,851,0.4,200,1171,1263,478,12,7,10,3.0,7.0,21533,b,584,1,4,0,1,False,1,0,0,1
30,1579,0.2,88,1358,1739,3532,17,11,12,0.0,9.0,5200,a,1272,0,6,0,2,True,1,0,1,0
35,725,0.4,160,1134,1249,1326,10,4,15,16.0,17.0,60447,none,921,1,7,1,0,False,1,0,1,0
36,589,0.6,160,429,815,2113,13,7,2,1.0,10.0,61734,g,750,1,3,2,3,True,1,0,1,0
37,1725,0.5,119,609,1307,3429,6,5,4,6.0,18.0,6793,none,1182,2,1,1,0,True,0,1,1,0
39,560,0.3,159,1448,1613,2150,18,12,11,15.0,20.0,50762,none,776,1,1,0,0,False,0,1,1,0
41,1646,0.2,185,1725,1932,3339,18,10,19,8.0,10.0,41458,none,1042,2,1,2,0,True,0,1,0,1
43,1656,0.1,166,880,1456,1629,15,12,14,5.0,7.0,34627,none,763,2,2,1,0,False,0,1,0,1
44,1195,0.8,110,1580,1652,504,9,3,12,1.0,14.0,20572,none,946,2,1,2,0,True,0,1,0,1
45,1514,0.2,118,186,1810,1152,8,3,20,0.0,1.0,27564,a,687,0,2,2,2,False,0,1,0,1
46,1723,1.0,164,202,1791,3587,10,5,3,1.0,14.0,42526,none,563,1,7,1,0,True,1,0,1,0
48,578,0.2,162,1025,1433,1270,15,3,5,2.0,8.0,57646,g,873,2,7,2,3,True,1,0,1,0
49,596,0.8,111,885,1854,3238,16,13,10,9.0,15.0,64851,none,767,0,7,1,0,False,1,0,1,0
51,1760,0.8,127,1382,1383,2053,19,12,16,5.0,19.0,63453,none,1039,0,7,1,0,False,0,1,1,0
52,1654,0.3,109,546,629,3112,12,5,10,0.0,0.0,43747,none,985,2,1,1,0,True,0,1,1,0
53,1457,0.3,102,1013,1287,1440,17,8,12,1.0,10.0,16156,n,882,2,2,1,4,False,1,0,1,0
55,1936,0.6,104,667,1036,2552,14,7,13,10.0,20.0,46075,none,885,2,2,1,0,False,1,0,1,0
56,823,0.5,148,822,1449,905,14,11,17,13.0,19.0,60630,b,678,1,7,2,1,True,0,1,1,0
57,987,0.4,107,581,820,3963,9,4,20,0.0,9.0,61155,g,1148,2,2,1,3,False,1,0,1,0
58,1757,0.5,180,265,713,2056,7,5,4,8.0,14.0,49398,none,727,0,5,0,0,False,1,0,0,1
59,1063,1.0,128,127,683,2910,15,13,9,2.0,4.0,48485,n,1061,2,4,1,4,False,0,1,1,0
60,1484,0.6,134,916,969,1457,14,4,20,3.0,5.0,12719,none,564,1,2,2,0,False,0,1,0,1
61,799,0.8,144,361,975,431,15,6,6,1.0,6.0,63299,a,667,2,7,2,2,True,0,1,0,1
64,702,0.7,141,504,1570,2955,10,4,19,2.0,3.0,9533,none,919,2,2,2,0,False,1,0,1,0
65,616,0.8,81,651,1618,3366,18,8,13,13.0,17.0,44398,none,1072,2,2,1,0,False,0,1,1,0
66,1358,0.3,155,1565,1858,3068,9,4,4,11.0,14.0,36411,none,1260,2,3,0,0,True,0,1,0,1
67,1866,0.5,182,108,1781,3834,16,11,8,0.0,0.0,30842,none,1404,0,2,1,0,False,1,0,0,1
70,1448,0.8,138,570,1724,3378,13,11,2,6.0,11.0,45828,a,852,2,6,0,2,True,0,1,1,0
71,1407,0.7,104,1172,1217,2192,9,7,13,1.0,4.0,22296,b,816,2,3,2,1,True,1,0,0,1
72,605,0.1,142,160,1026,392,15,6,4,8.0,16.0,9616,none,610,2,2,1,0,False,1,0,0,1
75,819,0.9,188,339,1242,1814,5,4,13,8.0,20.0,42918,g,854,2,5,0,3,False,1,0,1,0
76,1114,0.4,197,1040,1071,907,10,7,17,4.0,15.0,9354,none,732,2,2,2,0,False,0,1,0,1
77,1234,0.6,172,166,778,1449,11,7,6,1.0,3.0,33423,a,504,0,0,1,2,True,1,0,1,0
